timestamp,annotator_id,sex,age,education,provenance,political_position,sexual_orientation
5/5/2026 21:07:32,GS59,F,69,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 21:10:37,GS63,F,29,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 21:13:19,GS64,M,23,Laurea triennale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Appartenente alla comunità LGBTQIA+
5/5/2026 22:11:27,GS69,F,62,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/5/2026 23:04:04,GS71,M,25,Scuola secondaria,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Destra,Appartenente alla comunità LGBTQIA+
5/6/2026 8:52:07,GS73,F,26,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/6/2026 12:58:17,GS78,M,62,Laurea magistrale,"Centro (Toscana, Umbria, Marche, Lazio)",Destra,Non appartenente alla comunità LGBTQIA+
5/6/2026 13:12:13,GS80,F,19,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Non appartenente alla comunità LGBTQIA+
5/6/2026 13:12:38,GS79,F,20,Diploma,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Centro,Non appartenente alla comunità LGBTQIA+
5/6/2026 13:24:54,GS81,M,18,Scuola secondaria,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Destra,Non appartenente alla comunità LGBTQIA+
