timestamp,annotator_id,prolific_id,sex,age,education,provenance,political_position,sexual_orientation
5/21/2026 19:29:21,GS29,5e8783b0fde5153fbd9dca43,F,27,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/21/2026 20:09:15,GS30,692b5e1eed3744f5159a8af2,F,27,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/21/2026 20:10:54,GS31,6056beff1b9debccd57761e0,F,25,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/21/2026 20:26:33,GS32,5e8a29a868e22e6c253c8847,F,26,Diploma,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non appartenente alla comunità LGBTQIA+
5/21/2026 20:31:18,GS33,6928a294d3c5b46b0d69f7d3,F,28,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/21/2026 20:44:14,GS34,5e823d80733625077229efeb,F,31,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Centro,Appartenente alla comunità LGBTQIA+
5/21/2026 21:12:35,GS35,5feb59016d65c5bf98940b28,F,28,Laurea magistrale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Centro,Non appartenente alla comunità LGBTQIA+
5/21/2026 21:15:17,GS36,5f3aaec1c181ed70e414a22c,F,31,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Non appartenente alla comunità LGBTQIA+
5/21/2026 21:21:15,GS37,5cac8aad785bb400156d3431,F,27,Laurea magistrale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Non voto,Non appartenente alla comunità LGBTQIA+
5/21/2026 21:43:35,GS38,5e79f90842204603180bf3c4,F,29,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/21/2026 22:42:50,GS39,60723c224e9193e5d5fe5712,F,34,Diploma,"Centro (Toscana, Umbria, Marche, Lazio)",Sinistra,Appartenente alla comunità LGBTQIA+
5/22/2026 0:21:48,GS41,692c5684120f58995a4c47ec,F,21,Laurea triennale,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/22/2026 0:30:48,GS42,5bb535574cb73b00011437d0,F,28,Diploma,"Nord (Valle d'Aosta, Piemonte, Liguria, Lombardia, Trentino-Alto Adige/Südtirol, Veneto, Friuli-Venezia Giulia, Emilia-Romagna)",Sinistra,Appartenente alla comunità LGBTQIA+
5/22/2026 1:14:33,GS43,5ced5d2d5919ea0019fa067d,F,33,Diploma,"Centro (Toscana, Umbria, Marche, Lazio)",Centro,Non so
5/22/2026 1:25:46,GS44,5f3d220abc6c4a0318e672f8,F,33,Laurea triennale,"Sud (Abruzzo, Molise, Campania, Puglia, Basilicata, Calabria, Sicilia, Sardegna)",Sinistra,Non appartenente alla comunità LGBTQIA+
